Brand,Description,Processor,RAM,Screen,Hard Drive Disc,State Solid Disc,Price
LENOVO,Portatil lenovo 3 14igl05 celeron 4gb 1tb freedos, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.198.800
HP,Portátil HP pavilion x360 pentium 4gb ram 128ssd, Dual Core, 4GB, 14 pulgadas,NA, 128GB,1.889.000
DELL,"Portátil dell inspiron 3493 i3 1005g1 4gb 1tb 14""", Dual Core, 4GB, 14 pulgadas, 1TB,NA,2.099.900
ASUS,Portatil asus x415ea core i3 256gb ssd 4gb endless, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.720.500
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 15 pulgadas, No aplica, 256GB,3.299.900
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.087.800
TOSHIBA,Portatil toshiba tecra dynabook, Single Core, 4GB, 14 pulgadas, No aplica,NA,1.410.000
HP,"Portátil hp ryzen 5, 4gb, 1tb, w10pro + kaspersky", AMD RYZEN R5, 4GB, 14 pulgadas, 1TB, No aplica,2.550.000
HP,Portátil hp 245 g7 athlon 3020e 8gb 500gb win10h, AMD, 8GB, 14 pulgadas, 500GB, No aplica,1.814.900
LENOVO,Lenovo IP S145 Portátil A9 8GB 1TB 14,NA,NA,NA,NA,NA,2.300.000
LENOVO,Portatil Lenovo Thinkbook 14 Pulg 4gb 1tb W10 Pro, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,2.473.900
HP,"Portátil hp 15-da2023, core i 3, 4gb, 1tb , 15,6""", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.735.000
LENOVO,Portátil Lenovo V130-14igm Intel Celeron 4gb/1tb 1, Intel, 4GB, 14 pulgadas, 1TB, No aplica,1.801.900
DELL,Portatil dell latitude 3420 core i3 4gb 1tb linux, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.653.900
ACER,Portatil acer a514-53 i3/4/256, Intel Core i3, 4GB, 14 pulgadas, 256GB, No aplica,1.849.900
HP,Portátil hp 14 pulgadas amd ryzen r3 4gb ram, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.610.000
HP,Portátil HP 13.3 Pulgadas Intel Core i5 8GB 256GB, Intel Core i5, 8GB, 13.3 pulgadas, No aplica, 256GB,3.599.000
JANUS,Computador janus core i5-9400 linux ram 8gb 22., Intel Core i5, 8GB, 22 pulgadas, No aplica, 256GB,2.531.000
ASUS,"Portatil Asus M415da-Bv797 14"" Ryzen 3", AMD RYZEN R3, 4GB, 14 pulgadas, No aplica, 256GB,1.744.888
HP,"Portátil hp 14-ck2101la cel n4020/4gb/1tb/14""", Dual Core, 4GB, 14 pulgadas, 1TB,NA,1.069.900
HP,Portátil hp 14pulgadas intel core i5 4gb 1tb, Quad Core, 4GB, 14 pulgadas, 1TB,NA,2.808.900
ASUS,Portátil asus x415ja-ek483t intel® core¿ i3-1005g1, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,2.594.900
TOSHIBA,Portátil toshiba tecra a40-g celeron 4gb 128gb ssd, No aplica, 4GB, 14 pulgadas,NA, 128GB,1.249.888
HP,"Todo en uno hp 205 amd athlon 3050u 4gb 1tb 21.5""", AMD, 4GB, 21.5 pulgadas, 1TB, No aplica,1.699.000
LENOVO,Portátil lenovo v145-14ast 14 pulgadas amd a6 4gb, AMD A6, 4GB, 14 pulgadas, 500GB, No aplica,1.259.888
HP,Portátil hp 14 pulgadas intel celeron 4gb 1tb, Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.249.900
HP,Portátil hp 14-cf3039la core i3 4gb 1tb freedos, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.520.700
HP,Portátil Hp 15-Dy2064la Intel Core I3 8gb 512gb, Intel Core i3, 8GB, 15 pulgadas, No aplica, 512GB,1.925.900
LENOVO,Portátil Lenovo NO 14.1 pulgadas Intel Core i3 4GB RAM, Intel Core i3, 4GB, 14.1 pulgadas, 1TB, No aplica,3.631.900
LENOVO,Portátil lenovo v145 -14 pulgadas amd a4 4gb - 1tb, AMD A4, 4GB, 14 pulgadas, 1TB, No aplica,1.199.900
HP,Portátil coin lumi 142g + multifuncional hp 2375., Intel Celeron, 4GB, 14 pulgadas, No aplica, No aplica,2.789.900
HP,Portátil Hp 14-Cf2081la Pentium Gold 6405u Ram/8gb, Intel Pentium, 8GB, 14 pulgadas, No aplica, 256GB,2.201.900
LENOVO,PC Portatil Lenovo S145-14IIL Core i5-1035G4 4GB D, Intel Core i5, 4GB, 14 pulgadas, 1TB, No aplica,6.617.135
HP,Portatil hp 14-cf1045 /4g/256g, Intel, 4GB, 14 pulgadas, 256GB, 256GB,1.697.900
LENOVO,Portátil lenovo s145-14iwl core i3 10ma 4gb 1t 14, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.799.990
HP,Portátil hp 240 g7 core i3 4gb 1tb linux, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.499.900
ACER,"Portátil acer 15.6"" a315-57g-53pw intel core i5", Intel Core i5, 8GB, 15.6 pulgadas, No aplica, 256GB,3.001.400
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 15 pulgadas, No aplica, 256GB,3.299.900
ASUS,"Portatil Asus Expertbook B2451fa 14"" Core I5", Intel Core i5, 8GB, 14 pulgadas, No aplica, 512GB,4.299.888
LENOVO,Portatil lenovo v145-14ast amd a6 4gb 500gb win10, AMD A6, 4GB, 14 pulgadas, 500GB, No aplica,1.276.500
LENOVO,Portatil Lenovo V145 14ast 14 Pulg 4gb 500gb Linux, AMD A4, 4GB, 14 pulgadas, 500GB, No aplica,1.120.900
HP,Portátil hp 14 core i5 10210u 4gb 1tb win10home, Intel Core i5, 4GB, 14 pulgadas, 1TB, No aplica,2.899.900
HP,Portatil hp 240 g7 core i3 1005g1 4gb 1tb linux, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.520.700
HP,Portatil hp notebook 245 g7 ryzen 3+ kaspersky, AMD RYZEN R3, 8GB, 14 pulgadas, 500GB, No aplica,3.333.333
HP,Portátil hp 240 g7 intel core i5 8265u 4gb 1tb w10, Intel Core i5, 4GB, 14 pulgadas, 1TB, No aplica,3.200.000
GENERICO,Portátil gateway intel core i5 256gb ssd 16gb win, Intel Core i5, 16GB, 14 pulgadas, No aplica, 256GB,3.299.900
ACER,Portatil acer a314-22 ryzen 3 4gb 1tb linux, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.687.200
TOSHIBA,"Portátil toshiba 14"" intel celeron 4gb 128 gb", No aplica, 4GB, 14 pulgadas,NA, 128GB,1.519.900
TOSHIBA,Portátil toshiba celeron 4gb 128gb ssd win10pro, Intel Celeron, 4GB, 14 pulgadas, No aplica, 128GB,2.000.000
DELL,"Portatil Dell 15 3501 core i3 ram4gb 1tb 15,6pulg", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.609.500
ASUS,"Portátil Asus Tuf 15,6"" Fx516pm Core I7", Intel Core i7, 16GB, 15.6 pulgadas, No aplica, 512GB,6.849.888
DELL,"Portátil dell inspiron 15 3501 core i3 4gb 1tb 15""", Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,2.180.000
HP,Portatil hp 15da2016 ci3/r4/1t, Intel, 4GB, 15 pulgadas, 1TB, No aplica,1.794.900
HP,"Hp 14-ck2101la portatil cel n4020/4gb/1tb/14""", Dual Core, 4GB, 14 pulgadas, 1TB,NA,1.069.900
GENERICO,Portátil gateway amd ryzen 5 256gb ssd 8gb windows, AMD RYZEN R5, 8GB, 15 pulgadas, No aplica, 256GB,2.999.900
HP,Portátil hp 14 pulgadas intel core i5 4gb 1tb, Quad Core, 4GB, 14 pulgadas, 1TB,NA,3.037.900
LENOVO,Portatil lenovo v145 14 pulgadas amd a6 4gb 500gb, AMD A6, 4GB, 14 pulgadas, 500GB, No aplica,1.269.900
ASUS,Portatil asus expertbook b1440fa-bv3124 14 ci3 4gb, No aplica, 4GB, 14 pulgadas, 1TB,NA,2.099.900
HP,Portatil hp 245 g7 14 pulgadas amd 4gb 1tb, AMD, 4GB, 14 pulgadas, 1TB, No aplica,1.243.200
HP,Portatil hp celeron 4gb ram 1tb linux 14 pulgadas, Dual Core, 4GB, 14 pulgadas, 1TB,NA,2.525.696
HP,Portatil hp 15-da2023la core i3 4gb 1tb freedos, Intel Core i3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.742.700
LENOVO,Portátil lenovo s340 intel core i3 4gb 256gb ssd, Dual Core, 4GB, 14 pulgadas,NA, 256GB,2.000.000
HP,Portátil hp 14-cf2089la intel celeron 4gb 256 ssd, Intel Celeron, 4GB, 14 pulgadas, No aplica, 256GB,1.199.900
HP,Portátil Hp 245 G8 Amd Ryzen 3 8gb 256gb Ssd Linux, AMD RYZEN R3, 8GB, 14 pulgadas, No aplica, 256GB,1.999.000
ACER,Portátil acer a514 intel core i3 1005g1 ssd 256gb, Intel Core i3, No aplica, 14 pulgadas, 4GB, 256GB,2.299.900
HP,Portátil hp stream azul 64gb/4gb intel, Intel Celeron, 4GB, 14 pulgadas, No aplica, No aplica,1.180.000
HP,"Portatil hp 240 g7/ corei3-1005g1/4gb/ dd1tb/14""", Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.609.000
HP,Portatil hp 15-db1044la, AMD RYZEN R3, 4GB, 15.6 pulgadas, 1TB, No aplica,1.840.000
HP,Portatil hp 245 g7 ryzen 5, AMD RYZEN R5, 4GB, 14 pulgadas, 1TB, No aplica,2.442.000
HP,"Portatil hp 255 g7 amd 3020e 4gb 500dd linux 15,6""", AMD, 4GB, 15.6 pulgadas, 500GB, No aplica,1.393.000
LENOVO,Portátil lenovo 3 14iil05 core i3 4gb 1tb freedos, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.609.500
LENOVO,Portátil lenovo ips/1340-14iil core i3 4gb ram 256, Intel Core i3, 4GB, 14 pulgadas, 256GB, No aplica,2.526.900
ACER,"Portátil Acer A514-53-34fr Hd Ci3 14 "" 4gb/256ssd", Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,2.628.900
LENOVO,Portatil lenovo v145/14ast/amd a6/ 4ram/500 gb hdd, Dual Core, 4GB, 14 pulgadas, 500GB,NA,1.285.000
LOGITECH,Portatil v145-14ast amda6 /4g / hdd500gb /14/ w10h, AMD, 4GB, 14 pulgadas, 50GB, No aplica,1.285.000
HP,Portátil hp 245 g7 amd 3020e 4gb 500gb win10home, AMD, 4GB, 14 pulgadas, 500GB, No aplica,1.499.900
HP,"Hp 255 g7 ath 3020e 4gb/500g win 10 home, 15.6""", Intel Atom, 4GB, 15.6 pulgadas, 500GB, No aplica,1.629.900
HP,"Portátil Hp 245 G8 14"" Amd Ryzen 5 8gb 256ssd", AMD RYZEN R5, 8GB, 14 pulgadas, No aplica, 256GB,2.899.900
HP,Portátil Hp 15-Dw1056la Intel Core I3 8gb 256gb, Intel Core i3, 8GB, 15 pulgadas, No aplica, 256GB,1.799.900
HP,Portátil 450 G7 Intel Ci7 -10510u 8gb 512 Ssd, Intel Core i7, 8GB, 15.6 pulgadas, No aplica, 512GB,5.199.900
HP,"Portatil hp ck2101la celeron 14"" 4gb 1tb freedos", Intel Celeron, 4GB, 14 pulgadas, 1TB, No aplica,1.387.000
HP,Portátil hp 14-cf2089la intel celeron 4gb 256 ssd, Intel Celeron, 4GB, 14 pulgadas, No aplica, 256GB,1.599.000
LENOVO,Portátil lenovo 14 pulgadas amd ryzen r3 4gb 1tb, AMD RYZEN R3, 4GB, 14 pulgadas, 1TB, No aplica,1.875.000
HP,Portátil hp 245 g7 amd e-series e2 4gb 1tb ubuntu, AMD E2, 4GB, 14 pulgadas, 1TB, No aplica,1.599.900
HP,"Portatil hp 255 g7 amd athlon 3020 4gb 500gb 15""", AMD, 4GB, 14 pulgadas, 500GB, No aplica,1.379.900
HP,Portátil Hp 14-Dk1020la Amd Athlon 3050u 4gb 256gb, AMD, 4GB, 14 pulgadas, No aplica, 256GB,1.359.000
ASUS,Portátil Asus X415ja-Ek483t 4gb/Ddh-1tb Core I3, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,3.067.900
ASUS,"Portátil Asus X543ma, Celeron, 4gb, 128ssd, W10pro", Intel Celeron, 4GB, 15.6 pulgadas, No aplica, 128GB,1.120.000
ACER,Portatil acer aspire a514-53-570s ci5 1035g1 4g, Intel Core i5, 4GB, 14 pulgadas, No aplica, 256GB,2.360.000
HP,Portátil hp 14-cf intel core i3 4gb 1tb windows 10, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.799.900
DELL,Portatil dell insp 15 3505 ryzen 5 3450u 8gb 256, AMD RYZEN R5, 8GB, 15.6 pulgadas, No aplica, 256GB,2.486.000
LENOVO,Portátil Lenovo Ip 3 14itl6 4gb/Ssd256gb Intel, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,3.240.900
HP,Portátil Hp 14-Cf2062la Intel Core I3 4gb 256gb, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.799.900
ACER,Portátil Acer Spin Sp314-54n-344f 4gb/256ssd/ Fhd, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,3.031.900
ASUS,Portátil Asus M415da-Bv797t 4gb/256ssd Amd Ryzen, AMD RYZEN R3, 4GB, 14 pulgadas, No aplica, 256GB,2.376.900
TOSHIBA,Portátil tecra a40-g celeron 5205u 4gb 128gb w10pr, Intel Celeron, 4GB, 14 pulgadas, No aplica, 128GB,1.699.900
ACER,Portátil acer a514-53-34fr core i3 4gb/256ssd/w10, Intel Core i3, 4GB, 14 pulgadas, 256GB, No aplica,2.239.900
HP,Hp Portatil 430 G7 Intel Ci7 8gb 256gb, Intel Core i7, 8GB, 13.3 pulgadas, No aplica, 256GB,5.299.900
APPLE,MacBook Pro 13.3 pulgadas Touch Bar Intel Core i5 256 GB Gris espacial, 2.4 GHz, 8GB, 13.3 pulgadas,NA,NA,7.949.000
LENOVO,Portátil lenovo thinkbook 14-iml ci3 10110u 4g 256, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.952.000
HP,Portátil Hp 15-Dw1057la Intel Core I3 4gb 1tb W10, Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.799.900
