Brand,Description,Processor,RAM,Screen,Hard Drive Disc,State Solid Disc,Price
HP,Portátil hp 245 g7 14 pulgada amd athlon 8gb 1tb, AMD, 8GB, 14 pulgadas, 1TB, No aplica,1.135.000
HP,Portátil HP Pavilion Gaming 15.6 Pulgadas AMD RYZEN R7 12GB 512GB, AMD RYZEN R7, 12GB, 15.6 pulgadas, No aplica, 512GB,5.399.000
ASUS,Asus ZenBook ProDuo 15 OLED UX582 15.6 Pulgadas Intel Core i9 32GB 1TB, Intel Core i9, 32GB, 15.6 pulgadas, No aplica, 1TB,13.999.900
ASUS,Portátil Gamer Asus Rog Zephyrus G14 14 Pulgadas AMD Ryzen 9 16GB 1TB, AMD Ryzen 9, 16GB, 14 pulgadas, No aplica, 1TB,8.799.900
ASUS,"Computador portátil Asus 15.6"" x543ma-dm1336 intel", Intel Celeron, 4GB, 15.6 pulgadas, No aplica, 128GB,1.186.900
LENOVO,Portatil Lenovo D330-10igl Celeron 64gbemmc Win10s, Intel Celeron, 4GB, 10.1 pulgadas, No aplica, 64GB,987.900
LENOVO,Portátil lenovo thinkbook 14iml 14 puLGadas intel, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.699.000
GATEWAY,Portátil Acer Gateway R5 8gb 256gb Ssd W10 15.6'', AMD RYZEN R5, 8GB, 15.6 pulgadas, No aplica, 256GB,1.839.900
ASUS,Portátil Gamer Asus Rog Flow X13 GV301QE 13.4 Pulgadas AMD Ryzen 9 16GB 1TB, AMD Ryzen 9, 16GB, 13.4 pulgadas, No aplica, 1TB,14.899.900
ASUS,"Portatil asus x415ja ek483 core i3 4gb, 1tb", Intel Core i3, 4GB, 14 pulgadas, 1TB, No aplica,1.560.000
ASUS,"Portátil Asus X415ja Ek483 Core I3, 8gb, 1tb, 14""", Intel Core i3, 8GB, 14 pulgadas, 1TB, No aplica,1.665.000
ASUS,Portátil Gamer Asus Rog Flow X13 GV 301 13.5 Pulgadas AMD Ryzen 9 16GB 1TB, AMD Ryzen 9, 16GB, 13.5 pulgadas, No aplica, 1TB,11.549.900
LENOVO,Portátil lenovo 82c4012vlm 14 puLGadas 4gb 256gb s, Intel Core i3, 4GB, 14 pulgadas, No aplica, 256GB,1.539.888
ACER,"Portatil Acer A515-5 Ci3 8256 15"" Intel Core 8gb", Intel core, 8GB, 15.6 pulgadas, No aplica, 1 GB,2.294.201
ASUS,"Computador portátil Asus 14"" x415ma-bv462ts intel®", Intel Celeron, 4GB, 14 pulgadas, No aplica, 128GB,1.450.900
ACER,"Portátil Acer A315-57 I5 15.6"" Ram 8gb", Intel Core i5, 8GB, 15.6 pulgadas, 256GB, No aplica,2.899.900
HP,Portátil hp 15-da2027la 15 puLGadas intel core i5, Intel Core i5, 4GB, 15 pulgadas, No aplica, 256GB,1.899.900
LENOVO,"Portatil levono v14 - ada athlon 3020e/4gb/1tb/14""", Dual Core, 4GB, 14 pulgadas, 1TB,NA,995.000
APPLE,MacBook Pro Chip M1 Pro 512GB SSD Plata MKGR3E/A 14.2 Pulgadas, Chip M1 Pro, 16GB, 14.2 pulgadas, No aplica, 512GB,10.906.900
HP,Portátil HP 16 Pulgadas AMD RYZEN R7 8GB 512GB, AMD RYZEN R7, 8GB, 16 pulgadas, No aplica, 512GB,5.999.000
HP,Portatil HP 245 g7 amd a4 ram4gb 1tb 14pulgadas., AMD A4, 4GB, 14 pulgadas, 1TB, No aplica,965.700
